All,Tous
"More permissions are needed to view this item.","Plus d'autorisations sont nécessaires pour afficher cet élément."
"At least one website or store group needs to be selected. Select and try again.","Au moins un site Web ou un groupe de magasins doit être sélectionné. Sélectionnez et réessayez."
"More permissions are needed to set All Scopes to a Role.","Davantage d’autorisations sont nécessaires pour assigner toutes les vues à un rôle."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","L’identifiant du site ""%1"" est incorrect. Veuillez vérifier l’identifiant du site et réessayer."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","L’identifiant de la boutique ""%1"" est incorrect. Veuillez vérifier l’identifiant de la boutique et réessayer."
"More permissions are needed to save this setting.","Plus de permissions sont nécessaires pour enregistrer ce paramètre."
"Read Details","Lire les détails"
"Mark as Read","Marquer comme lu"
"Are you sure?","Êtes-vous sûr(e) ?"
Remove,Supprimer
"Messages Inbox","Messages reçus"
"You have %1 new system messages","Vous avez %1 nouveaux messages système"
"You have %1 new system message","Vous avez %1 nouveau message système"
"Incoming Message","Message entrant"
close,fermer
"The message has been marked as Read.","Le message a été marqué comme lu."
"We couldn't mark the notification as Read because of an error.","Nous ne pouvons pas marquer la notification comme lue à cause d'une erreur."
"Please select messages.","Veuillez sélectionner des messages."
"A total of %1 record(s) have been marked as Read.","Un total de %1 enregistrement(s) a(ont) été(s) marqué(s) comme lu(s)."
"Total of %1 record(s) have been removed.","%1 enregistrement(s) a(ont) été supprimé(s)."
"We couldn't remove the messages because of an error.","Nous n'avons pas pu supprimer les messages en raison d'une erreur."
"The message has been removed.","Le message a bien été supprimé."
"1 Hour","1 heure"
"2 Hours","2 heures"
"6 Hours","6 heures"
"12 Hours","12 heures"
"24 Hours","24 heures"
critical,critique
major,majeur
minor,mineur
notice,avertissement
"Wrong message type","Mauvais type de message."
"Wrong notification ID specified.","L'identifiant de notification spécifié est erroné."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","L'utilisation de {{base_url}} n'est pas recommandée dans un environnement de production pour déclarer l'adresse non sécurisée de base / l'adresse sécurisée de base. Nous vous recommandons vivement de modifier cette valeur dans votre <a href=""%1"">configuration</a> Magento."
"One or more of the Cache Types are invalidated: %1. ","Au moins un type de cache est invalide : %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Veuillez vous rendre à la <a href=""%1"">gestion du cache</a> puis actualisez les types de cache."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Un ou plusieurs fichier(s) média(s) n'a / n'ont pas pu être synchronisé(s). Veuillez consulter le fichier journal pour plus de détails."
"Synchronization of media storages has been completed.","La synchronisation du stockage des médias est terminée."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Votre serveur web est mal configuré et permet l'accès non autorisé à des fichiers sensibles. Veuillez contacter votre hébergeur."
"System Messages:","Messages système :"
"Critical System Messages","Messages système critiques"
"Major System Messages","Messages système majeurs"
"System messages","Messages système"
Close,Fermer
"See All (","Voir tous ("
" unread)"," non lus)"
"Show Toolbar","Afficher la barre d'outils"
"Show List","Afficher la liste"
"Use HTTPS to Get Feed","Utiliser HTTPS pour récupérer le flux"
"Update Frequency","Fréquence de mise à jour"
"Last Update","Dernière mise à jour"
Severity,Importance
"Date Added","Date d'ajout"
"Close popup","Fermer le pop-up"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Vous avez vu et résolu tous les avis récents du système. Veuillez actualiser la page web pour effacer l’alerte d’avis."
"Manage Shopping Cart","Gérer votre panier"
"Create Order","Créer une commande"
Back,Retour
"Add Products","Ajouter des produits"
"Update Items and Quantities","Mettre à jour les articles et quantités"
"Are you sure you want to clear your cart?","Êtes-vous certain(e) de vouloir vider de votre panier ?"
"Clear my shopping cart","Vider mon panier"
"Add selections to my cart","Ajouter les éléments sélectionnés à mon panier"
Cancel,Annuler
"Shopping Cart for %1 in %2","Panier pour %1 dans %2"
"Select products you want to buy","Sélectionnez les produits que vous voulez acheter"
Product,Produit
Price,Prix
Quantity,Quantité
"Products in the Comparison List (%1)","Produits dans la liste de comparaison (%1)"
"Last ordered items (%1)","Derniers articles commandés (%1)"
Products,Produits
ID,Identifiant
SKU,REF
"Recently Compared Products (%1)","Produits récemment comparés (%1)"
"Recently Viewed Products (%1)","Produits récemment vus (%1)"
"Add to Shopping Cart by SKU","Ajouter au panier par REF"
"Add to Shopping Cart","Ajouter au panier"
"Wish List (%1)","Liste de souhaits (%1)"
Apply,Appliquer
Configure,Configurer
"Add to Order by SKU","Ajouter à la commande par REF"
"Add to Order","Ajouter à la commande"
"Add Products to Order","Ajouter des produits à la commande"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produit(s) nécessitant une vérification.</span>"
"Remove All","Tout supprimer"
"Only %1%2%3 left in stock","Seulement %1%2%3 encore en stock"
"You can buy up to %1 of these per purchase.","Vous pouvez acheter seulement %1 de ce produit par commande."
"You must buy at least %1 of these per purchase.","Vous devez acheter au moins %1 de ce produit par commande."
"Specify the product's options.","Définir les options de ce produit."
"Alert me when this item is available.","M'avertir lorsque cet élément est disponible."
"We can't find this customer.","Nous ne pouvons pas trouver ce client."
"Shopping cart management is disabled for this customer.","La gestion de panier est désactivé pour ce client."
"We can't find this store.","Nous ne pouvons pas trouver ce magasin."
Customers,Clients
"Shopping Cart",Panier
"Sorry, something went wrong. You can find out more in the error log.","Désolé, quelque chose a mal tourné. Vous en saurez plus dans le journal des erreurs."
"You do not have access to this.","Vous n'avez pas accès."
"Ordered item id is not received.","L'ID de commande n'a pas été reçu."
"Ordered item is not loaded.","L'article commandé n'est pas chargé."
"Quote item id is not received.","L'identifiant de l'article de la commande n'a pas été reçu."
"Quote item is not loaded.","L'article n'est pas chargé."
"The wish list item id is not received.","L'ID de l'article de la liste de souhaits n'a pas été reçu."
"The wish list item is not loaded.","L'article de la liste de souhait n'est pas chargé."
"An error has occurred. See error log for details.","Une erreur s'est produite. Consultez le journal des erreurs pour plus de détails."
"You cannot configure a product.","Vous ne pouvez pas configurer un produit."
"You removed the items.","Vous avez supprimé les éléments."
"You removed the item.","Vous avez supprimé l'élément."
"You added %1 to your shopping cart.","Vous avez ajouté %1 à votre panier."
"You cannot add a product.","Vous ne pouvez pas ajouter un produit."
"Order by SKU","Commander par REF"
"The SKU was not found in the catalog.","La REF n’a pas été trouvée dans le catalogue."
"Availability: Out of stock.","Disponibilité : en rupture de stock."
"We don't have as many of these as you want.","Nous n'avons pas autant que vous le souhaitez."
"You can't add this many to your cart.","Vous ne pouvez pas en ajouter autant à votre panier."
"You need to choose options for your item.","Javascript doit être activé dans votre navigateur pour utiliser toutes les fonctionnalités de ce site."
"We can't add the item to your cart.","Nous ne pouvons pas ajouter l'article à votre panier."
"Please enter an actual number in the ""Qty"" field.","Veuillez entrer un nombre valide dans le champ ""Quantité""."
"This product is assigned to another website.","Ce produit est affecté à un autre site Web."
"You can add only enabled products.","Vous pouvez ajouter uniquement des produits activés."
"You cannot upload this file.","Vous ne pouvez pas télécharger ce fichier."
"The file is empty.","Le fichier est vide."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Aucune REF de produit n'a été saisie. Veuillez <a href=""%1"">cliquer ici</a> pour ajouter le(s) produit(s) par REF."
"You have not entered a product SKU.","Vous n'avez pas entré la REF du produit."
"We can't add a product to cart by id ""%1"".","Nous ne pouvons pas ajouter un produit au panier à partir de l'id ""%1""."
"Something went wrong while reordering this product.","Une erreur s'est produite lors de la commande de ce produit."
"We can't find this wish list.","Nous ne pouvons pas trouver cette liste d'envie."
"You added %1 product to your shopping cart.","Vous avez ajouté %1 produit à votre panier d'achat."
"You added %1 products to your shopping cart.","Vous avez ajouté %1 produits à votre panier."
"%1 product requires your attention.","%1 produit requiert votre attention."
"%1 products require your attention.","%1 produits requièrent votre attention."
"Yes, for Specified Customer Groups","Oui, pour les groupes clients spécifiés"
"Yes, for Everyone","Oui, pour tout le monde"
No,Non
"The file is corrupt.","Le fichier est corrompu."
"Please upload the file in .csv format.","Veuillez téléverser le fichier au format .csv"
"%1 item(s) need your attention.","%1 article(s) a/ont besoin de votre attention."
"Apply Coupon Code","Appliquer un bon de réduction"
"Remove Coupon Code","Supprimer le bon de réduction"
"The coupon code ""%1"" is not valid.","Le bon de réduction ""%1"" n'est pas valide."
"Shopping Cart Items","Articles du panier"
Qty,Qté
Subtotal,Sous-total
Discount,Remise
"Row Subtotal","Sous-total de la ligne"
"No ordered items","Aucun article commandé"
"Total %1 product(s)","%1 produit(s) au total"
Subtotal:,"Sous-total :"
"Please select",Sélectionnez
"Move to Wish List","Déplacer vers la liste d'achats"
"No item specified.","Aucun article spécifié."
"Are you sure you want to remove this item?","Êtes-vous sûr(e) de vouloir retirer cet article ?"
"SKU number","REF numéro"
"Upload File","Télécharger le fichier"
"Your csv file must include ""sku"" and ""qty"" columns.","Votre fichier csv doit inclure les colonnes ""sku"" et ""qty""."
Reset,Réinitialiser
"SKU: ","REF : "
"Only <span id=""%1_max_allowed"">%2</span> in stock","Seulement <span id=""%1_max_allowed"">%2</span> en stock"
Item,Article
"See price before order confirmation.","Voir le prix avant la confirmation de la commande"
"What's this?","Qu'est-ce que c'est ?"
"Incl. Tax",TTC
"Excl. Tax",HT
"Edit item parameters","Éditer les paramètres de l'article"
Edit,Éditer
"Remove item","Retirer l'article"
"Products Requiring Attention","Produits nécessitant une Attention"
"Add to Cart","Ajouter au panier"
Sku,Réf.
File,Fichier
"File extensions allowed: .csv","Extensions de fichier autorisées : .csv"
"Add Row","Ajouter une ligne"
"Remove Row","Supprimer la ligne"
"Add Products By SKU","Ajouter les produits par REF"
"Shopping Cart Management","Gestion du panier"
"View Shopping Cart","Voir le panier"
"View and modify Shopping Cart","Afficher et modifier le panier d’achat"
"Order by SKU Settings","Paramètres de commande par REF"
"Enable Order by SKU on My Account in Storefront","Activer la commande par REF dans le compte client dans la boutique"
"Customer Groups","Groupes clients"
"Apply Coupon","Utiliser un bon de réduction"
"Order by SKU Description","Description de la commande par REF"
"Display a Link to Loading a Spreadsheet","Affiche un lien pour chargeur un tableur"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Définit si un lien vers ""Mon compte"" et vers la page ""Commander par REF"" sera affiché sur le widget"
"Link Text","Texte de lien"
"The text of the link to the My Account &gt; Order by SKU page","Le texte du lien vers ""Mon compte"" et vers la page ""Commander par ""REF"""
"Load a list of SKUs","Charger une liste de REF"
"Order by SKU Template","Gabarit de commande par REF"
"SKU not found in catalog.","REF introuvable dans le catalogue."
"This file needs to be in .csv format.","Ce fichier doit être au format .csv."
"This customer couldn't be found. Verify the customer and try again.","Ce client n'a pas pu être trouvé. Vérifiez le client et réessayez."
"This store couldn't be found. Verify the store and try again.","Ce magasin n'a pas pu être trouvé. Vérifiez le magasin et réessayez."
"An error occurred. For details, see the error log.","Une erreur est survenue. Pour plus de détails, voir le journal des erreurs."
"The ordered item needs to be loaded. Load the item and try again.","L’article commandé doit être chargé. Charger l’élément et réessayez."
"The quote item ID needs to be received. Set the ID and try again.","L’ID d’élément doit être envoyée. Attribuez l'ID et réessayez."
"The quote item needs to be loaded. Load the item and try again.","L’élément cité doit être chargé. Charger l’élément et réessayez."
"The wish list item ID needs to be received. Set the ID and try again.","L’ID d’élément de liste doit être reçu. Attribuez l'ID et réessayez."
"The wish list item needs to be loaded. Load the item and try again.","L’élément de liste cadeaux doit être chargé. Charger l’élément et réessayez."
"The file is corrupt and can't be used.","Le fichier est corrompu et ne peut pas être utilisé."
"Please correct the data sent.","Merci de corriger les données envoyées."
"Entity type model '%1' is not found","Le modèle du type d'entité '%1' est introuvable."
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Le Modèle de type entité doit être une instance de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export","Aucun type de produit disponible pour l'export"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","La classe %1 n'implémente pas \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Règle de vente"
"Index sales rule","Index règle de vente"
"Related Search Terms","Termes de recherche connexes"
"Add New Search Term","Ajouter un terme de recherche"
button_label,"Couleur de texte de bouton pour le gabarit Ogone"
"Missing search engine parameter.","Paramètre de moteur de recherche manquant."
"Successful! Test again?","Succès ! Tester de nouveau ?"
"Connection failed! Test again?","La connexion a échoué ! Testez à nouveau ?"
"Enable Search Recommendations","Activer les recommandations de recherche"
"When you enable this option your site may slow down.","Lorsque vous activez cette option, votre site peut ralentir."
"Search Recommendations Count","Nombre de recommandations de recherche"
"Show Results Count for Each Recommendation","Afficher le nombre de résultats pour chaque recommandation"
"Enable Search Suggestions","Activer les Suggestions de recherche"
"Search Suggestions Count","Nombre de Suggestions de recherche"
"Show Results Count for Each Suggestion","Afficher le nombre de résultats pour chaque Suggestion"
"Related search terms","Termes de recherche associés"
"Did you mean","Vouliez-vous dire"
"Search Query","Termes de recherche"
Store,Magasin
Results,Résultats
Uses,Utilise
"Redirect URL","URL de redirection"
"Suggested Term","Durée suggérée"
Yes,Oui
Synonym,Synonyme
"RPC call failed, connection timed out after %time_out.","L'appel RPC a échoué, connexion a expiré après %time_out."
"Message has been rejected: %1","Message a été rejeté : %1"
"Error while checking if topic is synchronous","Erreur lors de la vérification de la synchronisation"
"Subscription status","État de l'abonnement"
"Sorry, there has been an error processing your request. Please try again later.","Désolé, une erreur s'est produite lors du traitement de votre demande. Veuillez réessayer plus tard."
"Time value has an unsupported format","Valeur du temps est dans un format non pris en charge"
"Cron settings can't be saved","Impossible d’enregistrer les paramètres de cron"
"There was an error save new configuration value.","Une erreur s'est produite lors de l'enregistrement de la nouvelle valeur de configuration."
"Please select a vertical.","Veuillez sélectionner une verticale."
"--Please Select--","--Votre choix--"
"Command was not found.","La commande n'a pas été trouvée."
"Input data must be string or convertible into string.","Données d’entrée doivent être string ou convertible en chaîne."
"Input data must be non-empty string.","Données d’entrée doivent être de chaîne non vide."
"Not valid cipher method.","Méthode de chiffrement non valide."
"Encryption key can't be empty.","Clé de cryptage ne peut pas être vide."
"Source ""%1"" is not exist","Source « %1 » est inexistante"
"These arguments can't be empty ""%1""","Ces arguments ne peuvent pas être vides « %1 »"
"Cannot find predefined integration user!","Impossible de trouver l'intégration prédéfinie par l'utilisateur !"
"File is not ready yet.","Le fichier n'est pas encore prêt."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Votre URL de Base a été modifiée et que vos rapports sont en cours de mise à jour. Rapports avancés seront disponibles une fois que ce changement a été traitée. S'il vous plaît essayer à nouveau plus tard."
"Failed to synchronize data to the Magento Business Intelligence service. ","Impossible de synchroniser les données vers le service d’Intelligence d’affaires de Magento. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Réessayez la synchronisation</a>"
TestMessage,"Message de test"
"Apps and Games","Applications et jeux"
"Athletic/Sporting Goods","Articles d'Athlétisme / de Sport"
"Art and Design","Art et Design"
"Advanced Reporting","Reporting avancé"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Acquérir de nouvelles connaissances et de prendre le commandement de votre entreprise, de la performance, à l'aide de notre produit dynamique, l'ordre et le client rapports adaptés à vos données client."
"Go to Advanced Reporting","Allez dans Advanced Reporting"
Analytics,Analyses
"Business Intelligence","Informatique Décisionnelle"
"BI Essentials","Essentiels BI"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Ce service offre une gamme dynamique de rapports riches idées concernant votre entreprise.                 Vos rapports sont accessibles en toute sécurité sur un tableau de bord personnalisé à l’extérieur du panneau d’administration en cliquant sur le lien « Aller à Advanced Reporting ». </br> Pour plus d’informations, consultez nos <a href=""https://magento.com/legal/terms/cloud-terms""> conditions générales</a>."
"Advanced Reporting Service","Service de Reporting avancé"
"Time of day to send data","Moment de la journée pour envoyer des données"
Industry,Industrie
"In order to personalize your Advanced Reporting experience, please select your industry.","Afin de personnaliser votre expérience de rapport avancé, veuillez sélectionner votre secteur d’activité."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>obtenez plus d’idées de Business Intelligence de Magento</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence vous donne une voie simple et claire pour devenir plus axée sur les données.</br> En savoir plus sur les niveaux de <a target=""_blank"" href=""https://dashboard.rjmetrics.com/v2/magento/signup/""> Magento BI Essentials et BI Pro</a>."
"Auto Parts","Pièces d’automobile"
"Baby/Children’s Apparel, Gear and Toys","Vêtements pour bébés/enfants, et jouets"
"Beauty and Cosmetics","Beauté et cosmétiques"
"Books, Music and Magazines","Livres, musique et Magazines"
"Crafts and Stationery","Artisanat et papeterie"
"Consumer Electronics","Électronique grand public"
"Deal Site","Affaire du site"
"Fashion Apparel and Accessories","Accessoires et vêtements de mode"
"Food, Beverage and Grocery","Aliments, des boissons et des produits d’épicerie"
"Home Goods and Furniture","Meubles et produits maison"
"Home Improvement","Rénovation de l’habitat"
"Jewelry and Watches","Bijoux et montres"
"Mass Merchant","Marchand Grossiste"
"Office Supplies","Fournitures de bureau"
"Outdoor and Camping Gear","Équipement de plein air et Camping"
"Pet Goods","Produits pour animaux de compagnie"
"Pharma and Medical Devices","Pharmaceutiques et dispositifs médicaux"
"Technology B2B","Technologie B2B"
Other,Autre
"The time value is using an unsupported format. Enter a supported format and try again.","La valeur de temps utilise un format non pris en charge. Entrez un format pris en charge et réessayez."
"Please select an industry.","Veuillez sélectionner une industrie."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Les données sont invalides. Entrez les données sous forme de chaîne de caractères ou des données pouvant être converties en chaîne de caractères et réessayez."
"The data is invalid. Enter the data as a string and try again.","Les données sont invalides. Entrez les données sous forme de chaîne de caractères et réessayez."
"The data is invalid. Use a valid cipher method and try again.","Les données sont invalides. Utilisez une méthode de chiffrement valide et réessayez."
"Enter the encryption key and try again.","Entrez la clé de chiffrement et réessayez."
"The ""%1"" source doesn't exist.","La source ""%1"" n'existe pas."
"Retry Synchronization","Réessayer la synchronisation"
Done,Fait
Retry,Réessayer
"'Action Details - #' .","Details de l'action - #"
"%1 item(s) have been scheduled for update.""","%1 des éléments sont prêts pour une mise à jour."""
"Bulk Actions Log","Journal des action en masse"
"Bulk uuid %bulkUuid not exist","Ensemble uuid %bulkUuid n’existe pas"
"Topic %1","Sujet %1"
"Something went wrong while processing the request.","Une erreur est survenue lors du traitement."
"Error processing %key element of input data","Erreur de traitement %key élément de données d'entrées"
"Sorry, something went wrong during product prices update. Please see log for details.","Désolé, quelque chose s'est mal passé pendant la mise à jour des prix. Voir le log pour les détails."
"%1 item(s) are currently being updated.","%1 des éléments sont en cours d'actualisation"
"Task ""%1"": ","Tâche « %1 » : "
"%1 item(s) have been scheduled for update.","Des éléments sont prêts pour une mise à jour."
"%1 item(s) have been successfully updated.","%1 des éléments ont été mis à jour avec succès."
"%1 item(s) failed to update","%1 des éléments n'ont pas pu être mis à jour"
Details,Détails
"View Details","Voir les détails"
Dismiss,Annuler
"Pending, in queue...","En attente, dans la file d’attente..."
"%1 items selected for mass update","%1 éléments sélectionnés pour la mise à jour massive"
", %1 successfully updated","%1 mis à jour avec succès"
", %1 failed to update",", %1 des éléments n'ont pas pu être mis à jour"
"Something went wrong.","Un problème est survenu."
"Action Log","Registre d'actions"
Report,Rapport
"Bulk Actions","Actions en masse"
"Action Logs","Logs d'actions"
"Days Saved in Log","Jours enregistrés dans le journal"
"Description of Operation","Description de l'opération"
Summary,Résumé
"Start Time","Heure de début"
"Items to Retry","Éléments à réessayer"
"To retry, select the items and click “Retry”.","Pour réessayer, sélectionnez les éléments et cliquez sur « Réessayer »."
"Items That Can’t Be Updated.","Éléments qui ne peuvent pas être mis à jour."
Status,Statut
"Meta Information","Meta information"
Error,Erreur
"Dismiss All Completed Tasks","Annuler toutes les tâches accomplies"
"Action Details - #","Details de l'action - #"
"Number of Records Affected","Nombre d’enregistrements affectés"
"We can't find the role for the user you wanted.","Impossible de trouver le rôle de l'utilisateur désiré."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Une erreur s'est produite lors de la compilation d'une liste de ressources autorisées. Vous pouvez trouver plus d'informations dans le journal des exceptions."
"The role wasn't found for the user. Verify the role and try again.","Le rôle n’a été trouvé pour l’utilisateur. Vérifier le rôle et réessayez."
"You created the order.","Vous avez créé la commande."
"Order saving error: %1","Erreur lors de la sauvegarde de la commande : %1"
"Please choose a payment method.","Choisissez un moyen de paiement."
"We can't process your order right now. Please try again later.","Vérification de carte de paiement"
"An error occurred on the server. Please try to place the order again.","Une erreur s'est produite sur le serveur. S'il vous plaît essayer de mettre de l'ordre nouveau."
"Credit Card: xxxx-%1","Numéro de carte bancaire : xxxx-%1"
"amount %1","montant %1"
failed.,échoué.
successful.,réussi.
"Authorize.Net Transaction ID %1.","Id de transaction Authorize.Net %1."
authorize,autoriser
"authorize and capture","autoriser et capturer"
capture,capturer
refund,rembourser
void,annuler
"Gateway error: %1","Erreur de la passerelle : %1"
"Something went wrong in the payment gateway.","Une erreur s'est produite avec la passerelle de paiement."
"Invalid amount for capture.","Montant de capture non valide"
"Payment capturing error.","Erreur de capture de paiement."
"Invalid transaction ID.","Identifiant de transaction non valide."
"Payment voiding error.","Erreur lors de l'annulation de paiement."
"Invalid amount for refund.","Montant non valide pour le remboursement."
"Payment refunding error.","Erreur de remboursement de paiement."
"The transaction was declined because the response hash validation failed.","La transaction a été refusée parce que la validation du hash de la réponse a échoué."
"This payment didn't work out because we can't find this order.","Ce paiement n'a pas fonctionné parce que nous ne pouvons pas trouver cette commande."
"There was a payment authorization error.","Il y avait une erreur d'autorisation de paiement."
"Please enter a transaction ID to authorize this payment.","Merci d'entrez un ID de transaction pour autoriser ce paiement."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Une erreur est survenue : le montant payé ne correspond pas au montant de la commande. Veuillez le corriger et essayer à nouveau."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","La transaction %1 a été approuvée. Montant %2. Le statut de la transaction est ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","La transaction %1 a été annulée ou refusée. Le statut de la transaction est ""%2"". Montant %3."
"Authorize Only","Autorisation seulement"
"Authorize and Capture","Autorisation et collecte"
"Unable to get transaction details. Try again later.","Impossible d'obtenir les détails de la transaction. Réessayez plus tard."
"Electronic payments save the trees.","Les paiements électroniques permettent de sauver des arbres."
"Credit Card Type","Type de carte de crédit"
"Please Select","Veuillez sélectionner"
"Credit Card Number","Numéro de carte bancaire"
"Expiration Date","Date d'expiration"
"Card Verification Number","Numéro de vérification"
"Fraud Detection ","Détection de fraude "
"FDS Filter Action","Action de filtrage FDS"
"AVS Response","Réponse de l'AVS"
"Card Code Response","Réponse du code de la carte"
"CAVV Response","Réponse CAVV"
"Fraud Filters","Filtres de fraude"
"Place Order","Passez la commande"
"Sorry, but something went wrong. Please contact the seller.","Désolé, un problème est survenu. Merci de contacter le vendeur."
"Authorize.net Direct Post","Soumission directe Authorize.net"
Enabled,Activé
"Payment Action","Action de paiement"
Title,Titre
"API Login ID","ID de connexion de l'API"
"Transaction Key","Clé de la transaction"
"Merchant MD5","MD5 du commerçant"
"New Order Status","Statut d'une nouvelle commande"
"Test Mode","Mode test"
"Gateway URL","URL de passerelle"
"Transaction Details URL","URL du détail de la transaction"
"Accepted Currency","Devise acceptée"
Debug,Déboguage
"Email Customer","Envoyer un email au client"
"Merchant's Email","Email du commerçant"
"Credit Card Types","Types de cartes de paiement"
"Credit Card Verification","Vérification de carte de paiement"
"Payment from Applicable Countries","Mode de paiement autorisé pour les pays concernés"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Minimum Order Total","Total minimum d'une commande"
"Maximum Order Total","Total maximum d'une commande"
"Sort Order","Ordre de tri""Abandoned Carts"
"Cannot place order.","Impossible de valider la commande."
"'Gateway error: ' .","'Erreur de la passerelle : ' ."
"Unable to place order. Please try again later.","Impossible de passer commande. Veuillez réessayer ultérieurement."
"A server error stopped your order from being placed. Please try to place your order again.","Une erreur informatique a empêché votre commande d'être finalisée. Merci de bien vouloir recommencer."
"The transaction details are unavailable. Please try again later.","Les détails de la transaction ne sont pas disponibles. Veuillez essayer plus tard."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Obsolète)"
"Signature Key","Clé de signature"
"There was an error while trying to process the request.","Une erreur s'est produite lors du traitement de la demande."
"This transaction cannot be refunded with its current status.","Cette transaction ne peut pas être remboursée avec son statut actuel."
"The authenticity of the gateway response could not be verified.","L'authenticité de la réponse de passerelle n'a pas pu être vérifiée."
"Basic Authorize.Net Settings","Paramètres Authorize.Net"
Environment,Environnement
"Public Client Key","Clé publique client"
"Merchant MD5 (deprecated)","MD5 marchand (obsolète)"
"Advanced Authorize.Net Settings","Paramètres avancés Authorize.Net"
"Enable Credit Card Verification Field","Activer le CVS de la carte de crédit"
"Invalid request to gateway.","La requête vers la passerelle est invalide."
